"id","tracker_message_id","tracker_tag_id","tag_type","value","message_tag_boolean_value","message_tag_byte_value","message_tag_date_time_value","message_tag_double_value","message_tag_integer_value","message_tag_string_value","is_fallback","sensor_id"
9202192,358202,10,3,NULL,NULL,6,NULL,NULL,NULL,NULL,False,NULL
9202193,358202,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202194,358202,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202195,358202,30,3,NULL,NULL,63,NULL,NULL,NULL,NULL,False,NULL
9202196,358202,31,3,NULL,NULL,138,NULL,NULL,NULL,NULL,False,NULL
9202197,358202,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202198,358202,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202199,358202,6,7,NULL,NULL,NULL,"2023-08-21 14:06:01+00",NULL,NULL,NULL,False,NULL
9202200,358202,101,4,NULL,NULL,NULL,NULL,53.204586,NULL,NULL,False,NULL
9202201,358202,100,4,NULL,NULL,NULL,NULL,50.148745,NULL,NULL,False,NULL
9202202,358202,120,4,NULL,NULL,NULL,NULL,0,NULL,NULL,False,NULL
9202203,358202,121,4,NULL,NULL,NULL,NULL,347.8,NULL,NULL,False,NULL
9202204,358202,4,1,NULL,NULL,NULL,NULL,NULL,2714,NULL,False,NULL
9202205,358202,5,1,NULL,NULL,NULL,NULL,NULL,248,NULL,False,NULL
9202206,358202,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9202207,358202,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9202208,358202,9,1,NULL,NULL,NULL,NULL,NULL,109,NULL,False,NULL
9202209,358202,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9202210,358202,12,1,NULL,NULL,NULL,NULL,NULL,14119,NULL,False,NULL
9202211,358202,13,1,NULL,NULL,NULL,NULL,NULL,3766,NULL,False,NULL
9202212,358202,14,1,NULL,NULL,NULL,NULL,NULL,37,NULL,False,NULL
9202213,358202,110,1,NULL,NULL,NULL,NULL,NULL,88,NULL,False,NULL
9202214,358202,111,1,NULL,NULL,NULL,NULL,NULL,67,NULL,False,NULL
9202215,358202,112,1,NULL,NULL,NULL,NULL,NULL,2002,NULL,False,NULL
9202216,358202,27,1,NULL,NULL,NULL,NULL,NULL,34484,NULL,False,NULL
9202217,358202,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052072453",False,NULL
9202244,358204,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9202245,358204,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202246,358204,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202247,358204,30,3,NULL,NULL,63,NULL,NULL,NULL,NULL,False,NULL
9202248,358204,31,3,NULL,NULL,138,NULL,NULL,NULL,NULL,False,NULL
9202249,358204,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202250,358204,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202251,358204,6,7,NULL,NULL,NULL,"2023-08-21 14:06:03+00",NULL,NULL,NULL,False,NULL
9202252,358204,101,4,NULL,NULL,NULL,NULL,53.204503,NULL,NULL,False,NULL
9202253,358204,100,4,NULL,NULL,NULL,NULL,50.148743,NULL,NULL,False,NULL
9202254,358204,120,4,NULL,NULL,NULL,NULL,8.3,NULL,NULL,False,NULL
9202255,358204,121,4,NULL,NULL,NULL,NULL,326.6,NULL,NULL,False,NULL
9202256,358204,4,1,NULL,NULL,NULL,NULL,NULL,2714,NULL,False,NULL
9202257,358204,5,1,NULL,NULL,NULL,NULL,NULL,249,NULL,False,NULL
9202258,358204,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9202259,358204,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9202260,358204,9,1,NULL,NULL,NULL,NULL,NULL,116,NULL,False,NULL
9202261,358204,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9202262,358204,12,1,NULL,NULL,NULL,NULL,NULL,14048,NULL,False,NULL
9202263,358204,13,1,NULL,NULL,NULL,NULL,NULL,3766,NULL,False,NULL
9202264,358204,14,1,NULL,NULL,NULL,NULL,NULL,37,NULL,False,NULL
9202265,358204,110,1,NULL,NULL,NULL,NULL,NULL,88,NULL,False,NULL
9202266,358204,111,1,NULL,NULL,NULL,NULL,NULL,67,NULL,False,NULL
9202267,358204,112,1,NULL,NULL,NULL,NULL,NULL,2330,NULL,False,NULL
9202268,358204,27,1,NULL,NULL,NULL,NULL,NULL,34484,NULL,False,NULL
9202269,358204,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052072453",False,NULL
9202298,358206,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9202299,358206,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202300,358206,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202301,358206,30,3,NULL,NULL,63,NULL,NULL,NULL,NULL,False,NULL
9202302,358206,31,3,NULL,NULL,138,NULL,NULL,NULL,NULL,False,NULL
9202303,358206,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202304,358206,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202305,358206,6,7,NULL,NULL,NULL,"2023-08-21 14:06:05+00",NULL,NULL,NULL,False,NULL
9202306,358206,101,4,NULL,NULL,NULL,NULL,53.20452,NULL,NULL,False,NULL
9202307,358206,100,4,NULL,NULL,NULL,NULL,50.148683,NULL,NULL,False,NULL
9202308,358206,120,4,NULL,NULL,NULL,NULL,7.7,NULL,NULL,False,NULL
9202309,358206,121,4,NULL,NULL,NULL,NULL,301.7,NULL,NULL,False,NULL
9202310,358206,4,1,NULL,NULL,NULL,NULL,NULL,2714,NULL,False,NULL
9202311,358206,5,1,NULL,NULL,NULL,NULL,NULL,251,NULL,False,NULL
9202312,358206,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9202313,358206,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9202314,358206,9,1,NULL,NULL,NULL,NULL,NULL,116,NULL,False,NULL
9202315,358206,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9202316,358206,12,1,NULL,NULL,NULL,NULL,NULL,13955,NULL,False,NULL
9202317,358206,13,1,NULL,NULL,NULL,NULL,NULL,3766,NULL,False,NULL
9202318,358206,14,1,NULL,NULL,NULL,NULL,NULL,37,NULL,False,NULL
9202319,358206,110,1,NULL,NULL,NULL,NULL,NULL,88,NULL,False,NULL
9202320,358206,111,1,NULL,NULL,NULL,NULL,NULL,67,NULL,False,NULL
9202321,358206,112,1,NULL,NULL,NULL,NULL,NULL,1086,NULL,False,NULL
9202322,358206,27,1,NULL,NULL,NULL,NULL,NULL,34484,NULL,False,NULL
9202323,358206,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052072453",False,NULL
9202324,358207,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9202325,358207,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202326,358207,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202327,358207,30,3,NULL,NULL,63,NULL,NULL,NULL,NULL,False,NULL
9202328,358207,31,3,NULL,NULL,138,NULL,NULL,NULL,NULL,False,NULL
9202329,358207,32,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202330,358207,33,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202331,358207,6,7,NULL,NULL,NULL,"2023-08-21 14:06:04+00",NULL,NULL,NULL,False,NULL
9202332,358207,101,4,NULL,NULL,NULL,NULL,53.204515,NULL,NULL,False,NULL
9202333,358207,100,4,NULL,NULL,NULL,NULL,50.148713,NULL,NULL,False,NULL
9202334,358207,120,4,NULL,NULL,NULL,NULL,7.9,NULL,NULL,False,NULL
9202335,358207,121,4,NULL,NULL,NULL,NULL,311.1,NULL,NULL,False,NULL
9202336,358207,4,1,NULL,NULL,NULL,NULL,NULL,2714,NULL,False,NULL
9202337,358207,5,1,NULL,NULL,NULL,NULL,NULL,250,NULL,False,NULL
9202338,358207,102,1,NULL,NULL,NULL,NULL,NULL,0,NULL,False,NULL
9202339,358207,103,1,NULL,NULL,NULL,NULL,NULL,15,NULL,False,NULL
9202340,358207,9,1,NULL,NULL,NULL,NULL,NULL,116,NULL,False,NULL
9202341,358207,11,1,NULL,NULL,NULL,NULL,NULL,14849,NULL,False,NULL
9202342,358207,12,1,NULL,NULL,NULL,NULL,NULL,14096,NULL,False,NULL
9202343,358207,13,1,NULL,NULL,NULL,NULL,NULL,3766,NULL,False,NULL
9202344,358207,14,1,NULL,NULL,NULL,NULL,NULL,37,NULL,False,NULL
9202345,358207,110,1,NULL,NULL,NULL,NULL,NULL,88,NULL,False,NULL
9202346,358207,111,1,NULL,NULL,NULL,NULL,NULL,67,NULL,False,NULL
9202347,358207,112,1,NULL,NULL,NULL,NULL,NULL,1065,NULL,False,NULL
9202348,358207,27,1,NULL,NULL,NULL,NULL,NULL,34484,NULL,False,NULL
9202349,358207,3,6,NULL,NULL,NULL,NULL,NULL,NULL,"869688052072453",False,NULL
9202454,358212,10,3,NULL,NULL,7,NULL,NULL,NULL,NULL,False,NULL
9202455,358212,28,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202456,358212,29,3,NULL,NULL,0,NULL,NULL,NULL,NULL,False,NULL
9202457,358212,30,3,NULL,NULL,63,NULL,NULL,NULL,NULL,False,NULL
